University_name,Region,State,Founded_year,Number_of_years,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students_percent,International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year,Latitude,Longitude,Website
University of Bolton,North West England,England,2004,18,Wisdom is over Morus,103,2100,NA,4.5,11250,11250,0.294,29.4,0.821,4899,300-399,Public,Semesters,Urban,5500,53.5742,-2.4362,www.bolton.ac.uk
University of Buckingham,South East England,England,1973,49,Flying on our own Wings,104,2073,NA,4.5,17160,14140,0.345,34.5,0.805,2531,100-199,Private,NA,Rural,8000,51.9954,-0.9917,www.buckingham.ac.uk
Buckinghamshire New University,South East England,England,2007,15,By Art and Industry,105,2103,NA,4.5,9500,10600,0.28,28,0.797,5078,400-499,Public,Semesters,Suburban,8990,51.6279,-0.7533,bucks.ac.uk/
University of Chichester,South East England,England,2005,17,"By teaching, we learn",106,2190,NA,4.5,10250,10250,0.064,6.4,0.799,4311,500-599,Public,NA,Suburban,8990,50.845,-0.7729,www.chiuni.ac.uk
University of Cumbria,North West England,England,2007,15,NA,107,2319,NA,4.5,10500,10500,0.095,9.5,0.738,5350,400-499,Public,NA,NA,6000,54.8909,-2.9222,www.cumbria.ac.uk
Falmouth University,South West England,England,2012,10,"Creative, Connected, Courageous",108,2333,NA,4.5,12000,12500,0.157,15.7,0.765,5144,300-399,Public,NA,NA,8217,50.1713,-5.1238,www.falmouth.ac.uk
University of Gloucestershire,South West England,England,2001,21,In Spirit and Truth,109,2346,NA,4.5,11500,11500,0.107,10.7,0.78,6953,600-699,Public,Semesters,Suburban,8217,51.8879,-2.0888,www.glos.ac.uk
Harper Adams University,Wales,Wales,2012,10,Useful and agreeable,110,2386,NA,4.5,8500,10000,0.091,9.1,0.824,2219,100-199,Public,Other,Rural,6000,52.779,-2.4277,www.harper-adams.ac.uk
Leeds Arts University,Yorkshire and the Humber,England,1846,176,NA,111,2397,NA,5.5,10500,10500,0.127,12.7,0.79,1771,400-499,Private,Semesters,Urban,8270,53.8088,-1.5516,www.leeds-art.ac.uk
Leeds Trinity University,Yorkshire and the Humber,England,2012,10,Knowledge and Excellence,112,2585,NA,4.5,10750,11250,0.07,7,0.748,3055,100-199,Public,Semesters,Suburban,7500,53.8483,-1.6453,www.leedstrinity.ac.uk/
Liverpool Hope University,North West England,England,2005,17,Hope to all who need it,113,2643,NA,4.5,10800,10800,0.13,13,0.793,4358,300-399,Public,Trimesters,Suburban,7471,53.3908,-2.8923,www.hope.ac.uk
London Metropolitan University,London,England,1848,174,Knowledge in Abundance,114,2727,NA,4.5,11400,13500,0.423,42.3,0.757,7542,400-499,Public,Continuous,Urban,15000,51.5526,-0.1113,www.londonmet.ac.uk
Newman University,West Midlands,England,1968,54,From the shadow to the truth,115,2759,NA,4.5,10500,10500,0.1559,15.59,0.812,2449,100-199,Public,NA,Suburban,10000,52.433,-1.9936,www.newman.ac.uk/
University of Northampton,East Midlands,England,2005,17,Let us not be ignorant,116,2840,NA,4,10700,10700,0.296,29.6,0.739,9618,800-899,Public,NA,Suburban,9000,52.2305,-0.887,www.northampton.ac.uk
Norwich University of the Arts,East of England,England,1845,177,NA,117,2943,NA,4.5,12500,13000,0.139,13.9,0.777,2228,200-299,Public,NA,Urban,9415,52.6302,1.2967,www.nua.ac.uk/
Queen Margaret University,Scotland,Scotland,2007,15,NA,118,2494,NA,4.5,10700,11000,0.322,32.2,0.765,3884,200-299,Public,Semesters,Suburban,7500,55.9308,-3.0736,www.qmced.ac.uk
Plymouth Marjon University,South West England,England,1923,99,Out of studies comes character,119,3200,NA,6,9250,9250,0.035,3.5,0.827,1836,50-99,Private,NA,NA,8217,50.4201,-4.11,www.marjon.ac.uk
Ravensbourne University London,London,England,1962,60,Designed for industry,120,3420,NA,5.5,9250,9250,0.2759,27.59,0.661,2417,100-199,Public,Semesters,Urban,10229,51.5017,0.0055,www.ravensbourne.ac.uk
Royal Agricultural University,South West England,England,2013,9,Caring for the Fields and the Beasts,121,3916,NA,5.5,10000,11000,0.132,13.2,0.823,1072,50-99,Public,Other,Rural,9400,51.7105,-1.995,www.rau.ac.uk
Solent University,South East England,England,2004,18,Spark Your Imagination,122,4030,NA,4.5,10380,10930,0.263,26.3,0.79,8835,600-699,Public,Semesters,Urban,7500,50.9083,-1.4004,www.solent.ac.uk
"St Mary's University, Twickenham",London,England,1850,172,Show Thyself a Mother,123,4300,NA,4.5,11000,13000,0.182,18.2,0.79,4700,300-399,Private,NA,Suburban,8000,51.4363,-0.3345,www.stmarys.ac.uk
University of Suffolk,East of England,England,2007,15,Honesty and diligence,124,4336,NA,4.5,9495,9495,0.135,13.5,0.76,3195,200-299,Public,NA,NA,9415,52.0523,1.1629,www.ucs.ac.uk/
University of Sunderland,North East England,England,1992,30,Sweetly absorbing knowledge,125,4547,NA,4,8350,9600,0.341,34.1,0.772,10810,900-999,Public,Continuous,Urban,8000,54.9046,-1.3915,www.sunderland.ac.uk
University of Wales Trinity Saint David,Wales,Wales,2010,12,NA,126,5253,NA,4.5,10000,11000,0.1559,15.59,0.786,8051,700-799,Public,Semesters,Rural,7771,52.1144,-4.0754,www.uwtsd.ac.uk/
University of West London,London,England,1990,32,NA,127,5498,NA,4.5,10650,10995,0.172,17.2,0.847,8752,"1,000-1,499",Public,Semesters,NA,10000,51.5069,-0.3032,www.uwl.ac.uk
University of Winchester,South East England,England,2005,17,Wisdom and Knowledge,128,5763,NA,4.5,11300,11650,0.106,10.6,0.785,7009,700-799,Public,Semesters,Suburban,10000,51.06,-1.3277,winchester.ac.uk
University of Worcester,West Midlands,England,2005,17,Inspire to Aspire,129,5864,NA,4.5,11120,11400,0.126,12.6,0.828,7596,900-999,Public,Semesters,Suburban,8097,52.198,-2.242,www.worcester.ac.uk
Wrexham Glyndwr University,Wales,Wales,2008,14,Confidence through Education,130,6012,NA,4.5,10250,10500,0.16,16,0.743,3168,200-299,Public,NA,Urban,7771,53.0526,-3.0062,www.glyndwr.ac.uk/
York St John University,Yorkshire and the Humber,England,1841,181,They may have life and have it more abundantly,131,6397,NA,5.5,10000,10000,0.087,8.7,0.799,6029,300-399,Public,NA,Urban,8000,53.9663,-1.0829,www.yorksj.ac.uk/
